Ward name,Old code,New code,Population - 2015,Children aged 0-15 - 2015,Working-age (16-64) - 2015,Older people aged 65+ - 2015,Average GCSE capped point scores - 2014
Enfield - Edmonton Green,00AKGQ,E05000197,"18,350","4,950","11,750","1,600",294
Enfield - Enfield Highway,00AKGR,E05000198,"16,350","4,050","10,500","1,800",311
Enfield - Enfield Lock,00AKGS,E05000199,"17,000","4,500","11,100","1,400",303
Enfield - Grange,00AKGT,E05000200,"13,300","2,300","8,400","2,600",364
Enfield - Haselbury,00AKGU,E05000201,"16,500","4,050","10,800","1,700",307
Enfield - Highlands,00AKGW,E05000202,"13,550","2,200","8,700","2,600",347
Enfield - Jubilee,00AKGX,E05000203,"14,600","3,500","9,350","1,750",310
Enfield - Lower Edmonton,00AKGY,E05000204,"16,700","4,700","10,300","1,700",304
Enfield - Palmers Green,00AKGZ,E05000205,"15,650","2,900","10,550","2,250",337
Enfield - Ponders End,00AKHA,E05000206,"17,050","4,400","11,100","1,550",314
Enfield - Southbury,00AKHB,E05000207,"14,950","3,700","9,700","1,500",327
Enfield - Southgate,00AKHC,E05000208,"14,800","2,850","9,900","2,050",361
Enfield - Southgate Green,00AKHD,E05000209,"14,400","2,550","9,550","2,250",348
Enfield - Town,00AKHE,E05000210,"15,150","3,000","9,750","2,400",328
Enfield - Turkey Street,00AKHF,E05000211,"14,700","3,600","9,350","1,750",306
Enfield - Upper Edmonton,00AKHG,E05000212,"18,600","4,800","12,050","1,750",291
Enfield - Winchmore Hill,00AKHH,E05000213,"13,700","2,550","9,050","2,100",351
Greenwich - Abbey Wood,00ALGP,E05000214,"16,200","4,300","10,250","1,650",301
Greenwich - Blackheath Westcombe,00ALGQ,E05000215,"13,300","2,300","8,950","2,000",327
Greenwich - Charlton,00ALGR,E05000216,"14,650","3,300","9,700","1,650",316
Greenwich - Coldharbour and New Eltham,00ALGS,E05000217,"13,450","2,350","8,650","2,450",319
Greenwich - Eltham North,00ALGT,E05000218,"12,900","2,250","8,250","2,400",339
Greenwich - Eltham South,00ALGU,E05000219,"13,100","2,050","8,950","2,050",352
Greenwich - Eltham West,00ALGW,E05000220,"12,500","2,700","8,350","1,450",311
Greenwich - Glyndon,00ALGX,E05000221,"18,500","4,350","12,750","1,400",317
Greenwich - Greenwich West,00ALGY,E05000222,"18,450","3,450","13,550","1,450",311
Greenwich - Kidbrooke with Hornfair,00ALGZ,E05000223,"14,650","2,900","9,950","1,850",313
Greenwich - Middle Park and Sutcliffe,00ALHA,E05000224,"13,900","2,900","8,850","2,200",329
Greenwich - Peninsula,00ALHB,E05000225,"24,500","4,650","18,350","1,500",303
Greenwich - Plumstead,00ALHC,E05000226,"17,050","3,950","11,550","1,600",306
Greenwich - Shooters Hill,00ALHD,E05000227,"13,750","2,750","9,050","1,900",320
Greenwich - Thamesmead Moorings,00ALHE,E05000228,"22,200","6,450","14,600","1,150",311
Greenwich - Woolwich Common,00ALHF,E05000229,"19,550","5,250","13,100","1,200",313
Greenwich - Woolwich Riverside,00ALHG,E05000230,"23,050","5,550","16,050","1,450",309
Hackney - Brownswood,00AMGA,E05000231,"13,300","1,850","10,700",750,295
Hackney - Cazenove,00AMGB,E05000232,"13,800","4,050","8,850",850,320
Hackney - Chatham,00AMGC,E05000233,"13,950","2,950","10,050",950,326
Hackney - Clissold,00AMGD,E05000234,"12,650","2,450","9,300",950,346
Hackney - Dalston,00AMGE,E05000235,"15,950","2,650","12,300","1,000",332
Hackney - De Beauvoir,00AMGF,E05000236,"15,200","2,400","11,700","1,050",315
Hackney - Hackney Central,00AMGG,E05000237,"13,200","2,300","9,850","1,000",328
Hackney - Hackney Downs,00AMGH,E05000238,"13,400","2,600","9,800","1,000",318
Hackney - Haggerston,00AMGJ,E05000239,"15,250","2,200","12,150",900,295
Hackney - Hoxton,00AMGK,E05000240,"16,300","2,450","12,850","1,000",323
Hackney - King's Park,00AMGL,E05000241,"11,650","2,800","7,750","1,100",321
Hackney - Leabridge,00AMGM,E05000242,"14,600","2,950","10,600","1,050",339
Hackney - Lordship,00AMGN,E05000243,"12,700","3,650","8,000","1,050",336
Hackney - New River,00AMGP,E05000244,"14,500","4,250","9,150","1,100",320
Hackney - Queensbridge,00AMGQ,E05000245,"14,450","2,400","10,850","1,200",294
Hackney - Springfield,00AMGR,E05000246,"12,800","4,200","7,650",950,332
Hackney - Stoke Newington Central,00AMGS,E05000247,"13,050","2,100","9,950","1,000",328
Hackney - Victoria,00AMGT,E05000248,"13,750","2,750","9,950","1,050",321
Hackney - Wick,00AMGU,E05000249,"12,350","2,600","8,800",950,311
Hammersmith and Fulham - Addison,00ANGA,E05000250,"11,650","1,850","8,850",900,331
Hammersmith and Fulham - Askew,00ANGB,E05000251,"14,300","2,550","10,550","1,200",313
Hammersmith and Fulham - Avonmore and Brook Green,00ANGC,E05000252,"12,700","1,550","9,750","1,400",343
Hammersmith and Fulham - College Park and Old Oak,00ANGD,E05000253,"10,700","2,100","7,750",900,317
Hammersmith and Fulham - Fulham Broadway,00ANGE,E05000254,"11,550","1,650","8,750","1,150",294
Hammersmith and Fulham - Fulham Reach,00ANGF,E05000255,"11,800","1,550","9,250","1,000",343
Hammersmith and Fulham - Hammersmith Broadway,00ANGG,E05000256,"12,250","2,000","9,000","1,250",325
Hammersmith and Fulham - Munster,00ANGH,E05000257,"11,150","1,900","8,250","1,000",280
Hammersmith and Fulham - North End,00ANGJ,E05000258,"12,650","1,600","10,150",850,300
Hammersmith and Fulham - Palace Riverside,00ANGK,E05000259,"7,600","1,400","5,050","1,150",309
Hammersmith and Fulham - Parsons Green and Walham,00ANGL,E05000260,"10,850","2,100","7,550","1,200",321
Hammersmith and Fulham - Ravenscourt Park,00ANGM,E05000261,"11,000","1,950","7,700","1,350",340
Hammersmith and Fulham - Sands End,00ANGN,E05000262,"13,550","2,550","9,850","1,150",321
Hammersmith and Fulham - Shepherd's Bush Green,00ANGP,E05000263,"12,950","2,100","9,850","1,050",332
Hammersmith and Fulham - Town,00ANGQ,E05000264,"11,350","2,050","8,450",900,334
Hammersmith and Fulham - Wormholt and White City,00ANGR,E05000265,"13,750","2,950","9,500","1,300",309
Haringey - Alexandra,00APGA,E05000266,"12,050","2,450","8,250","1,350",382
Haringey - Bounds Green,00APGB,E05000267,"14,400","2,550","10,500","1,350",335
Haringey - Bruce Grove,00APGC,E05000268,"15,050","3,250","10,500","1,250",299
Haringey - Crouch End,00APGD,E05000269,"12,800","2,050","9,400","1,300",366
Haringey - Fortis Green,00APGE,E05000270,"13,000","2,500","9,000","1,500",375
Haringey - Harringay,00APGF,E05000271,"14,100","2,150","10,900","1,050",303
Haringey - Highgate,00APGG,E05000272,"12,100","1,800","8,900","1,450",316
Haringey - Hornsey,00APGH,E05000273,"13,100","2,300","9,600","1,200",329
Haringey - Muswell Hill,00APGJ,E05000274,"11,050","1,900","7,700","1,500",375
Haringey - Noel Park,00APGK,E05000275,"14,700","2,600","10,850","1,200",302
Haringey - Northumberland Park,00APGL,E05000276,"15,150","3,800","10,200","1,200",293
Haringey - St. Ann's,00APGM,E05000277,"16,100","2,850","12,000","1,300",305
Haringey - Seven Sisters,00APGN,E05000278,"16,650","4,200","11,150","1,250",320
Haringey - Stroud Green,00APGP,E05000279,"12,250","1,900","9,400",950,335
Haringey - Tottenham Green,00APGQ,E05000280,"15,900","3,300","11,350","1,300",292
Haringey - Tottenham Hale,00APGR,E05000281,"17,300","3,850","12,150","1,300",301
Haringey - West Green,00APGS,E05000282,"14,050","2,550","10,100","1,400",309
Haringey - White Hart Lane,00APGT,E05000283,"13,950","3,350","9,500","1,150",315
Haringey - Woodside,00APGU,E05000284,"15,400","2,800","11,200","1,350",301
Harrow - Belmont,00AQFY,E05000285,"11,650","2,350","7,550","1,700",356
Harrow - Canons,00AQFZ,E05000286,"13,500","2,600","8,350","2,550",341
Harrow - Edgware,00AQGA,E05000287,"12,050","2,550","8,000","1,500",334
Harrow - Greenhill,00AQGB,E05000288,"13,100","2,500","9,250","1,350",318
Harrow - Harrow on the Hill,00AQGC,E05000289,"12,850","2,800","8,450","1,600",343
Harrow - Harrow Weald,00AQGD,E05000290,"11,650","2,200","7,350","2,100",324
Harrow - Hatch End,00AQGE,E05000291,"10,950","2,050","6,700","2,200",351
Harrow - Headstone North,00AQGF,E05000292,"10,400","1,800","6,700","1,850",360
Harrow - Headstone South,00AQGG,E05000293,"11,600","2,350","7,750","1,500",351
Harrow - Kenton East,00AQGH,E05000294,"11,500","2,150","7,800","1,550",337
Harrow - Kenton West,00AQGJ,E05000295,"11,550","2,000","7,750","1,800",342
Harrow - Marlborough,00AQGK,E05000296,"13,000","2,900","8,700","1,400",323
Harrow - Pinner,00AQGL,E05000297,"10,300","1,850","6,300","2,150",332
Harrow - Pinner South,00AQGM,E05000298,"10,650","2,200","6,450","2,000",369
Harrow - Queensbury,00AQGN,E05000299,"12,350","2,600","8,200","1,500",332
Harrow - Rayners Lane,00AQGP,E05000300,"11,450","2,350","7,350","1,750",350
Harrow - Roxbourne,00AQGQ,E05000301,"13,150","3,200","8,550","1,350",321
Harrow - Roxeth,00AQGR,E05000302,"12,000","2,650","7,950","1,400",335
Harrow - Stanmore Park,00AQGS,E05000303,"11,450","2,000","6,850","2,650",313
Harrow - Wealdstone,00AQGT,E05000304,"11,700","2,800","7,650","1,300",315
Harrow - West Harrow,00AQGU,E05000305,"10,700","2,150","7,100","1,500",357
Havering - Brooklands,00ARGC,E05000306,"17,100","3,850","11,050","2,200",307
Havering - Cranham,00ARGD,E05000307,"12,650","2,150","7,450","3,050",337
Havering - Elm Park,00ARGE,E05000308,"12,700","2,350","7,800","2,550",322
